COHORT_MONTH,TYPE,REGION,FIRST_PRODUCT,CURRENCY,VOLUME,TRANSACTION_COUNT,VOLUME_STD
2021-09-01,paid_social,REGION 1,BANK CARD,RUB,1559.8333359833314,2,150.39042058594885
2021-09-01,seo_content,REGION 2,BANK CARD,MXN,36419.208795093284,89,677.0629988026641
2021-09-01,paid_display,REGION 9,ADD MONEY,CLP,2527.6941803806562,52,377.14720359447364
2021-09-01,invite,REGION 3,TRANSFER,LKR,1795.298317814231,7,267.63862990727847
2021-09-01,invite,REGION 2,BANK CARD,RUB,12381.810106062067,12,1849.3850164911669
2021-09-01,news,REGION 3,TRANSFER,TRY,446.10258114684865,13,94.33208563516315
2021-09-01,paid_display,REGION 4,BANK CARD,IDR,15059.144694311995,28,1974.8774213511517
2021-09-01,organic_social,REGION 5,TRANSFER,COP,13862.390870822941,38,935.0489424592893
2021-09-01,audio,REGION 9,BANK CARD,CHF,2810.3429335136634,6,570.1425879173397
2021-09-01,affiliates,REGION 4,ADD MONEY,PLN,2371.0063623080614,8,330.7916412842347
2021-09-01,word_of_mouth,REGION 4,ADD MONEY,NZD,1623.2648546229545,64,48.43120763172426
2021-09-01,seo_content,REGION 9,BANK CARD,VND,47558.14531737123,36,2491.96417144906
2021-09-01,paid_search,REGION 3,TRANSFER,RUB,2373.7074079201325,12,322.1648869428551
2021-09-01,paid_social,REGION 5,BANK CARD,EUR,27574.81384168691,56,1188.1865762660586
2021-09-01,email,REGION 2,TRANSFER,NZD,726.3026855439854,5,54.19817962225099
2021-09-01,other,REGION 9,BANK CARD,BGN,80623.767738858,7,16939.579728512894
2021-09-01,seo_content,REGION 2,TRANSFER,TWD,1517.955003382232,4,456.22162503171575
2021-09-01,seo_content,REGION 4,ADD MONEY,MZN,2351.7129718707924,44,196.6504752569686
2021-09-01,owned_partners,REGION 3,ADD MONEY,PKR,1243.2584453856466,2,157.7430238208324
2021-09-01,affiliates,REGION 9,BANK CARD,AUD,1266.505098350744,5,172.94944380682819
2021-09-01,audio,REGION 9,TRANSFER,GBP,3553.7808763313437,8,1644.1699572305326
2021-09-01,bank_partnerships,REGION 2,BANK CARD,USD,169848.98183715,122,2794.911630855863
2021-09-01,seo_content,REGION 6,ADD MONEY,UAH,1344.8969666222029,7,259.3973144994435
2021-09-01,seo_content,REGION 9,ADD MONEY,ANG,1344.084601378387,8,114.17324381820283
2021-09-01,email,REGION 6,BANK CARD,UAH,28951.694958828804,12,6027.63136176556
2021-09-01,paid_display,REGION 5,TRANSFER,EUR,2044.2221127148068,6,144.34002841660183
2021-09-01,paid_search,REGION 4,ADD MONEY,HRK,805.144312123836,1,214.26264047351722
2021-09-01,email,REGION 9,BANK CARD,TWD,44643.9350789997,20,7441.691224818773
2021-09-01,news,REGION 9,ADD MONEY,MYR,43188.21302682826,18,12060.051543099496
2021-09-01,paid_social,REGION 5,TRANSFER,FJD,4708.435229935614,24,817.9596419883525
2021-09-01,news,REGION 1,TRANSFER,KES,2465.15889575205,11,381.61798152850264
2021-09-01,paid_display,REGION 9,TRANSFER,AOA,2115.362640248557,18,111.49394143036777
2021-09-01,invite,REGION 3,TRANSFER,GBP,1612.3540860538883,6,233.36513492170505
2021-09-01,owned_partners,REGION 4,ADD MONEY,SEK,2602.195977702616,14,47.83917113881023
2021-09-01,news,REGION 3,BANK CARD,TRY,3960.7558473180065,8,145.05732308156234
2021-09-01,owned_partners,REGION 7,BANK CARD,DKK,14287.100735891423,11,2438.9397554326138
2021-09-01,seo_content,REGION 5,BANK CARD,KRW,15586.624555150058,23,1395.724323745162
2021-09-01,seo_content,REGION 2,TRANSFER,CZK,4227.556916292806,7,532.1428974166223
2021-09-01,email,REGION 5,TRANSFER,UAH,15308.11277570474,33,983.3819352600447
2021-09-01,paid_search,REGION 3,BANK CARD,AOA,1314.1271229262604,7,202.7220525930169
2021-09-01,invite,REGION 9,ADD MONEY,PHP,346.5737718173476,4,15.224523249808692
2021-09-01,audio,REGION 7,BANK CARD,CZK,3631.920630074395,27,394.3365794280773
2021-09-01,affiliates,REGION 3,ADD MONEY,BGN,114.51061530425801,7,99.65490562641601
2021-09-01,email,REGION 9,BANK CARD,UGX,3698.723537829042,5,454.9627279049934
2021-09-01,paid_social,REGION 2,BANK CARD,UGX,71309.08248412173,111,1378.2733651897297
2021-09-01,news,REGION 2,BANK CARD,MAD,12261.753896989789,11,2396.638854083234
2021-09-01,other,REGION 4,BANK CARD,DKK,1876.8614374271554,4,316.13439211457575
2021-09-01,invite,REGION 7,BANK CARD,IDR,3215.179277513987,12,209.24588362287807
2021-09-01,paid_search,REGION 3,BANK CARD,ZAR,4036.5903633310018,13,785.169424801084
2021-09-01,other,REGION 3,BANK CARD,AED,1489.2018897073458,3,652.4910039458538
2021-09-01,seo_content,REGION 9,TRANSFER,TWD,21702.56817324027,22,2838.446318299665
2021-09-01,out_of_home,REGION 4,BANK CARD,AED,57653.75906683362,82,1468.0904213820643
2021-09-01,word_of_mouth,REGION 9,TRANSFER,INR,31141.921103574463,40,1392.514634416721
2021-09-01,word_of_mouth,REGION 6,ADD MONEY,ZAR,5363.703368344505,19,171.9744414463012
2021-09-01,paid_social,REGION 9,BANK CARD,TZS,127189.90363398024,230,1262.0141109593583
2021-09-01,paid_social,REGION 4,BANK CARD,BDT,3139.821663972578,10,245.0182022519183
2021-09-01,seo_content,REGION 1,TRANSFER,BGN,81836.76451300742,45,7001.897834422425
2021-09-01,email,REGION 9,BANK CARD,NPR,869.2729782672693,9,119.21645908668629
2021-09-01,organic_social,REGION 9,TRANSFER,RUB,1173.85788507741,19,279.87698620502306
2021-09-01,seo_content,REGION 7,BANK CARD,CZK,2585.387522914414,27,94.97937001407199
2021-09-01,paid_social,REGION 5,BANK CARD,COP,139812.48311041715,214,2439.7687370418116
2021-09-01,news,REGION 9,ADD MONEY,KRW,1362.998976075055,52,76.12022086681836
2021-09-01,email,REGION 5,TRANSFER,EUR,4077.324281553239,13,453.2428998813705
2021-09-01,news,REGION 4,ADD MONEY,HUF,1248.0829790474081,6,332.9367929484933
2021-09-01,news,REGION 3,BANK CARD,CNY,1263.335752206121,4,218.66058048123222
